text,label,source,category
RKVY-RAFTAAR scheme empowers states to execute location-specific agriculture development projects and support agri-startups.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
The Cabinet Committee on Economic Affairs (CCEA) approves Minimum Support Prices (MSP) for mandated Kharif and Rabi crops based on CACP recommendations.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Integrated Pest Management (IPM) techniques recommend field monitoring, pheromone traps, and bio-pesticides before applying chemical pesticide sprays.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers are advised to check weather updates from India Meteorological Department (IMD) Meghdoot mobile app for location-specific agricultural forecasts.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Call Center operates toll-free number 1800-180-1551 providing expert agricultural advice to farmers in local languages from 6 AM to 10 PM daily.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"National Seeds Corporation (NSC) provides certified high-yielding seed varieties for wheat, paddy, pulses, and oilseeds via authorized portals like indiaseeds.com.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Dharani portal and state land record portals provide digital land record verification for crop loan sanction and subsidy processing.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"System of Rice Intensification (SRI) method reduces seed rate, water requirement, and production costs in paddy cultivation.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Pusa decomposer capsule developed by ICAR assists in rapid in-situ decomposition of paddy straw residue.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM-KISAN official website is pmkisan.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Crop insurance claim helpline number is 1800-200-5142.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Check daily mandi rates on enam.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Soil health testing available at local KVK centers.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Certified seeds available at National Seeds Corporation outlets.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Credit Card interest rate is 4 percent upon timely repayment.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Kusum scheme official solar pump application portal is mnre.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Kisan Yojana ki 17th kist 2000 rupey direct farmer ke bank account me credit ki gayi hai. Detail ke liye official website pmkisan.gov.in par check karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Soil Health Card banwane ke liye apne nearest Krishi Vigyan Kendra ya agriculture officer se sampark karein. Official portal: agricoop.nic.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Credit Card (KCC) par interest rate subsidised hai. Apne bank branch me jaakar form bharein aur 4 percent interest rate ka labh uthayein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Fasal bima yojana ka claim lene ke liye 72 ghante ke andar toll free number 1800-200-5142 par complaint register karayein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Kusum solar pump yojana ke liye kewal official rajya government portal ya mnre.gov.in par hi aavedan karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
e-NAM portal par mandi ke taaza bhav check karne ke liye enam.gov.in website visit karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Beej khareedne ke liye certified National Seeds Corporation ki website indiaseeds.com ka upyog karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Urgent: Government is providing 90% subsidy on buying new Mahindra tractors under PM Kisan Tractor Scheme 2026. Click here http://pmkisan-tractor-subsidy.online to apply immediately!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Claim your free mini tractor! Government selected 5000 farmers for free machinery distribution. Verify your phone number at http://free-tractor-scheme.org.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government announced 95 percent discount on drone sprayers for all small farmers who submit Aadhaar details and Rs 500 processing fee to WhatsApp admin.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Modi tractor yojana: Sabhi kisano ko mil raha hai free tractor. Aavedan ke liye link kholo http://pm-tractor-yojana.site.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Free Swaraj Tractor Scheme 2026: Share this message to 10 WhatsApp groups and fill form on http://free-swaraj-tractor.info to win tractor.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"Government is distributing 10,000 free rotavators and harvesters. Register on http://free-farm-equipment.com before stock runs out.",misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Modi is giving Rs 15000 cash bonus to every farmer who forwards this message to 5 WhatsApp contacts and fills out the form at http://pm-bonus-kisan.info!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Special relief scheme: Every farmer with a tubewell gets Rs 50000 direct bank transfer if they click this link and enter bank OTP http://kisan-relief-fund.net.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government is paying Rs 2000 per month pension to all farmers above 18 years without any contribution. Register at http://kisan-pension-free.site.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Click here to double your PM Kisan payment from Rs 6000 to Rs 12000 annually by submitting your bank PIN on http://pmkisan-double-bonus.com!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Kisan Samman Nidhi bonus bonus: Govt sending Rs 4000 extra bonus tonight into bank accounts! Click http://kisan-dbt-bonus.xyz to claim.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"Central govt announced Rs 25,000 festival gift for all agricultural laborers. Enter bank details on http://kisan-gift-2026.online.",misleading,WhatsApp / Phishing SMS,Scam / Fake News
"Sabhi kisaanon ko milenge 10,000 rupey direct account me! Link par click karke aadhar number dalein http://kisan-cash-dbt.site.",misleading,WhatsApp / Phishing SMS,Scam / Fake News
URGENT ATTENTION: PM Kisan Scheme payment has been suspended for all farmers. To unblock your account pay Rs 250 processing fee at http://pmkisan-unblock-dbt.site within 24 hours.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Mandatory eKYC update for PM Kisan: Pay Rs 99 at http://pmkisan-ekyc-now.org to avoid cancellation of your 17th installment.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Alert: Government will confiscate agricultural land if farmers do not complete land link verification on http://kisan-land-verify.com before midnight!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Urgent SMS: Pay Rs 150 processing fee at http://aif-infrastructure-loan.org to get instant 3% interest subvention for cold storage setup.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Your PM Kisan bank account is locked! To activate DBT payment immediately click http://pmkisan-activate-dbt.info and enter OTP.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Kisan Credit Card account freeze warning! Update KYC on http://kcc-kyc-verify.online within 12 hours to prevent loan cancellation.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Kisan eKYC mandatory update: Send Rs 50 processing fee via PhonePe to UPI ID pmkisan-kyc@upi to get pending installment.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government is waiving off all private bank tractor loans and farm credit card loans up to 10 lakhs automatically. Register your details at http://farm-loan-waiver.org now!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government announces 100% free electricity and free diesel for all tubewells across all states. Share this message to 10 WhatsApp groups to activate free power on your meter.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Alert: Central government announced instant loan waiver for all Kisan Credit Card holders up to 5 lakh rupees on http://kcc-waiver-2026.net.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Kisan Karza Mafi Scheme 2026: All farm loans up to 2 lakh completely waived off by PM Modi. Fill form on http://karza-mafi-kisan.info.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Free tubewell electricity connection for life! No meter charges. Submit electricity bill copy on http://free-power-kisan.org.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Attention farmers: Spraying concentrated salt solution on paddy crops completely destroys all insects and doubles crop yield in 3 days!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Boiling neem leaves with diesel and spraying on cotton crops completely cures pink bollworm infestation overnight without damaging plants.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Secret recipe revealed: Mixing detergent powder with kerosene oil and applying to wheat crops eliminates all fungal diseases instantly.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Mixing salt water with vinegar and spraying on sugarcane fields doubles sugar content in 24 hours without chemical fertilizers.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Guaranteed yield booster: Spraying sugar syrup mixed with urea on tomato plants increases fruit size by 300 percent in 48 hours.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Bake salt and sulphur together and spread in field to permanently eliminate all weeds and pests forever.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Shocking news! Government has banned the sale of urea and DAP fertilizers across India starting tomorrow. Buy extra bags immediately before stock ends!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government is shutting down all APMC mandis nationwide from next Monday. Sell all your crop produce to private agents immediately at low rates!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Warning: Government has banned all drip irrigation systems across India starting next week. Switch to flood irrigation immediately.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government declared all synthetic pesticides toxic and illegal starting tomorrow; farmers using chemical sprays face immediate imprisonment.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Alert: Government will stop buying wheat at MSP from next season. Sell your harvest immediately to private traders.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government announced free seed kits distribution for wheat and rice to all farmers who pay Rs 199 shipping charge on http://free-beej-yojana.com.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government is giving free electricity transformers to every farm tubewell. Fill up form on http://free-transformer-yojana.com with your bank OTP.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
FPO registration fee waived off completely! Pay Rs 499 on http://fpo-india-reg.com to get instant 10 lakh government grant.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Get 90% tractor subsidy at http://pmkisan-tractor.online.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Kisan 10000 rupees extra bonus form at http://kisan-bonus.site.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Pay Rs 99 for PM Kisan eKYC update on http://pmkisan-ekyc.info.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Free solar pump without documents click http://free-solar-pump.xyz.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Spray salt water and kerosene to kill paddy insects instantly.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government banning urea sales tomorrow buy stock now.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
KCC loan 5 lakh waived off apply at http://kcc-waiver.net.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"genuine agricture deal, buy from our portal agribharat.gov.in and get subsidy if eligible , first contact agricuklture ofice",misleading,WhatsApp / Phishing SMS,Scam / Fake News
genuine agriculture deal buy from unverified portal and claim instant subsidy discount,misleading,WhatsApp / Phishing SMS,Scam / Fake News
buy direct from our online private store to get 80 percent government subsidy refund,misleading,WhatsApp / Phishing SMS,Scam / Fake News
special agriculture deal buy cheap fertilizers and pesticides from private site and claim cash back,misleading,WhatsApp / Phishing SMS,Scam / Fake News
genuine farmer deal click here to buy subsidized seeds directly without government registration,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"genuine agriculture scheme from government, jus register through our website and contact the helpline number for any doubts 7880283765",misleading,WhatsApp / Phishing SMS,Scam / Fake News
contact helpline number 9876543210 for free tractor scheme registration,misleading,WhatsApp / Phishing SMS,Scam / Fake News
register through our website and send payment to phone number 9123456789,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Sabhi kisan bhaiyo ko 90 percent subsidy par naya tractor mil raha hai. Form bharne ke liye link open karein http://kisan-tractor-subsidy.site aakhri tarikh kal hai.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Kisan ki kist ruk gayi hai toh turant Rs 199 pay karke ekyc karein link http://pmkisan-ekyc-update.info par. 24 ghante me account block ho jayega.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Kisan loan mukti yojana me 5 lakh tak ka loan maaf ho gaya hai. Apna Aadhar aur bank OTP is link http://kisan-loan-maaf.online par submit karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Mupht tractor yojana 2026: Is WhatsApp message ko 10 logo ko bhejo aur http://free-tractor-yojana.info par apna naam darj karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Sabhi kisano ko 15000 rupaye ki aarthik sahayata di ja rahi hai. Form bharne ke liye http://kisan-sahayata.xyz par click karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Urea aur DAP par ban lag gaya hai kal se. Apne paas ke dukaan se saari khad abhi khareed lo warna stock khatam ho jayega.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
