text,label,source,category
Kisan Credit Card account freeze warning! Update KYC on http://kcc-kyc-verify.online within 12 hours to prevent loan cancellation.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Boiling neem leaves with diesel and spraying on cotton crops completely cures pink bollworm infestation overnight without damaging plants.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
FPO registration fee waived off completely! Pay Rs 499 on http://fpo-india-reg.com to get instant 10 lakh government grant.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Bake salt and sulphur together and spread in field to permanently eliminate all weeds and pests forever.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM-KUSUM scheme helps farmers reduce dependence on diesel pumps and ensures reliable day-time irrigation power.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Get instant 5G speed boost by dialing *#9900# and sending Rs 100 to private UPI ID!,misleading,Telecom Scam,
Ministry of Health updates COVID-19 vaccination portal for booster dose appointments across state health centers.,genuine,Public News Archive,
Kisan loan mukti yojana me 5 lakh tak ka loan maaf ho gaya hai. Apna Aadhar aur bank OTP is link http://kisan-loan-maaf.online par submit karein.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
buy direct from our online private store to get 80 percent government subsidy refund,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"PMFBY covers crop damages due to drought, flood, inundation, unseasonal rainfall, landslide, cyclone, and pest attacks.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Sabhi kisaanon ko milenge 10,000 rupey direct account me! Link par click karke aadhar number dalein http://kisan-cash-dbt.site.",misleading,WhatsApp / Phishing SMS,Scam / Fake News
PMFBY enrollment cut-off date for Kharif crops is approaching. Farmers can register at pmfby.gov.in or visit nearest bank branch or CSC center.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"BREAKING: Drinking hot water with lemon instantly cures all viral infections within 2 hours, share with everyone!",misleading,Viral Social Media,
Government is giving free smart TVs to every household under new digital scheme. Apply now at http://free-tv-yojana.com.,misleading,Viral Scam,
"Government is distributing 10,000 free rotavators and harvesters. Register on http://free-farm-equipment.com before stock runs out.",misleading,WhatsApp / Phishing SMS,Scam / Fake News
Submit your PAN card number on http://pan-tax-refund.org to claim instant Rs 4500 income tax refund!,misleading,Phishing Fraud,
Pradhan Mantri Fasal Bima Yojana (PMFBY) provides comprehensive crop insurance coverage against non-preventable natural risks from pre-sowing to post-harvest.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Agriculture Infrastructure Fund (AIF) provides medium-long term debt financing facility with 3% interest subvention for post-harvest infrastructure projects.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"System of Rice Intensification (SRI) method reduces seed rate, water requirement, and production costs in paddy cultivation.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Integrated Pest Management (IPM) techniques recommend field monitoring, pheromone traps, and bio-pesticides before applying chemical pesticide sprays.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PMFBY claims are calculated based on Crop Cutting Experiments (CCE) data and yield estimates submitted by state agriculture departments.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Pusa decomposer capsule developed by ICAR assists in rapid in-situ decomposition of paddy straw residue.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Click here to double your PM Kisan payment from Rs 6000 to Rs 12000 annually by submitting your bank PIN on http://pmkisan-double-bonus.com!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"BREAKING: Government will credit Rs 10,000 into every bank account tonight at 12 AM. Click link to confirm account number.",misleading,Phishing Scam,
URGENT ATTENTION: PM Kisan Scheme payment has been suspended for all farmers. To unblock your account pay Rs 250 processing fee at http://pmkisan-unblock-dbt.site within 24 hours.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Kisan Credit Card interest subvention scheme continues to provide subsidized credit for agricultural operations.,genuine,NABARD Report,
Shocking news! Government has banned the sale of urea and DAP fertilizers across India starting tomorrow. Buy extra bags immediately before stock ends!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Farmers are advised to use Nano Urea and Nano DAP liquid sprays as per ICAR guidelines to reduce chemical fertilizer consumption and input costs.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Farmers can apply for Kisan Credit Card at any commercial bank, Regional Rural Bank (RRB), or Cooperative Bank branch with basic land records.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Kisan Yojana ki 17th kist 2000 rupey direct farmer ke bank account me credit ki gayi hai. Detail ke liye official website pmkisan.gov.in par check karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Free solar pump without documents click http://free-solar-pump.xyz.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Crop loss notification under PMFBY must be reported within 72 hours of localized calamity occurrence via Crop Insurance App or toll-free number 1800-200-5142.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Government announced free seed kits distribution for wheat and rice to all farmers who pay Rs 199 shipping charge on http://free-beej-yojana.com.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Urgent SMS: Pay Rs 150 processing fee at http://aif-infrastructure-loan.org to get instant 3% interest subvention for cold storage setup.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
KCC loan 5 lakh waived off apply at http://kcc-waiver.net.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government is giving free smartphones to all citizens who register on http://free-smartphone-2026.net.,misleading,WhatsApp Scam,
Indian Meteorological Department issues heatwave warning for northwest regions urging citizens to stay hydrated.,genuine,Weather Bureau,
Scientists discover that holding a magnet against your forehead cures headaches in 10 seconds.,misleading,Health Myth,
Ministry of Micro Small and Medium Enterprises offers collateral-free credit guarantee schemes for small entrepreneurs.,genuine,Ministry Release,
Your PM Kisan bank account is locked! To activate DBT payment immediately click http://pmkisan-activate-dbt.info and enter OTP.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM Kisan eKYC mandatory update: Send Rs 50 processing fee via PhonePe to UPI ID pmkisan-kyc@upi to get pending installment.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Soil health testing available at local KVK centers.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
PM Modi tractor yojana: Sabhi kisano ko mil raha hai free tractor. Aavedan ke liye link kholo http://pm-tractor-yojana.site.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
contact helpline number 9876543210 for free tractor scheme registration,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Soil Health Card banwane ke liye apne nearest Krishi Vigyan Kendra ya agriculture officer se sampark karein. Official portal: agricoop.nic.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Farmers are advised to check weather updates from India Meteorological Department (IMD) Meghdoot mobile app for location-specific agricultural forecasts.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Government is waiving off all private bank tractor loans and farm credit card loans up to 10 lakhs automatically. Register your details at http://farm-loan-waiver.org now!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
genuine farmer deal click here to buy subsidized seeds directly without government registration,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Farmers can check real-time commodity prices and mandi arrival trends across all states on e-NAM mobile app or official portal enam.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"Paramparagat Krishi Vikas Yojana (PKVY) promotes cluster-based organic farming with financial assistance of Rs 50,000 per hectare over three years for organic inputs.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Guaranteed yield booster: Spraying sugar syrup mixed with urea on tomato plants increases fruit size by 300 percent in 48 hours.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Food Safety and Standards Authority of India (FSSAI) conducts nationwide food safety surveillance drives.,genuine,FSSAI Official Release,
register through our website and send payment to phone number 9123456789,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Get 90% tractor subsidy at http://pmkisan-tractor.online.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Government announces 100% free electricity and free diesel for all tubewells across all states. Share this message to 10 WhatsApp groups to activate free power on your meter.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
URGENT: Government will block all SIM cards within 24 hours unless you click this link and submit bank details.,misleading,Phishing SMS,
PM Kisan Karza Mafi Scheme 2026: All farm loans up to 2 lakh completely waived off by PM Modi. Fill form on http://karza-mafi-kisan.info.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Certified seeds available at National Seeds Corporation outlets.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
special agriculture deal buy cheap fertilizers and pesticides from private site and claim cash back,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"National Seeds Corporation (NSC) provides certified high-yielding seed varieties for wheat, paddy, pulses, and oilseeds via authorized portals like indiaseeds.com.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Ministry of Housing and Urban Affairs provides financial assistance for affordable housing under PMAY-U.,genuine,Ministry Release,
PM-KISAN official website is pmkisan.gov.in.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Shocking discovery: Eating raw onions under your bed overnight eliminates all toxic radiation from cell phones.,misleading,Fake Health Myth,
WhatsApp will start charging 0.99 per message from next month unless you forward this message to 20 people!,misleading,Viral Forward,
Attention farmers: Spraying concentrated salt solution on paddy crops completely destroys all insects and doubles crop yield in 3 days!,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Urgent SMS: Your electricity bill is unpaid. Power supply will be disconnected tonight at 9 PM unless you pay on http://quick-power-pay.info.,misleading,Utility Scam,
Animal husbandry and fisheries farmers are also eligible for Kisan Credit Card (KCC) credit facilities up to Rs 2 lakh at concessional interest rates.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Spray salt water and kerosene to kill paddy insects instantly.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"Under PM-KISAN scheme, eligible landholding farmer families receive Rs 6000 per year in three equal installments of Rs 2000 transferred directly into bank accounts via DBT. Check details on official portal pmkisan.gov.in.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
EPFO enables online claim submission for EPF withdrawal through the official Member Sewa portal.,genuine,Official EPFO Release,
Crop insurance claim helpline number is 1800-200-5142.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Government bans all private vehicles on highways starting tomorrow morning. Stock up on fuel immediately!,misleading,Social Media Panic,
Kisan Call Center operates toll-free number 1800-180-1551 providing expert agricultural advice to farmers in local languages from 6 AM to 10 PM daily.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
"genuine agriculture scheme from government, jus register through our website and contact the helpline number for any doubts 7880283765",misleading,WhatsApp / Phishing SMS,Scam / Fake News
Department of Telecommunications warns citizens against sharing OTPs or financial information over phone calls.,genuine,Government Press Release,
Claim your government approved solar panel grant of Rs 50000 by sending your bank OTP to admin.,misleading,Phishing Fraud,
Government is giving free electricity transformers to every farm tubewell. Fill up form on http://free-transformer-yojana.com with your bank OTP.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Ministry of Skill Development and Entrepreneurship launches PMKVY 4.0 to train youth in Industry 4.0 skills.,genuine,Ministry Release,
e-NAM portal par mandi ke taaza bhav check karne ke liye enam.gov.in website visit karein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Claim your free mini tractor! Government selected 5000 farmers for free machinery distribution. Verify your phone number at http://free-tractor-scheme.org.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
"Under PM-KUSUM Component-B, individual farmers can install standalone solar agriculture pumps with up to 60 percent subsidy from central and state government.",genuine,Official Portal / Advisory,Agri Scheme / Advisory
Aadhaar seed link with bank account is mandatory for PM-KISAN benefits. Visit nearest post office or bank branch for direct benefit transfer setup.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Directorate General of Foreign Trade issues notification regarding revised export policy for agricultural commodities.,genuine,DGFT Notification,
Urgent: Your bank account will be blocked today due to pending KYC verification. Update details on http://bank-kyc-verify.online.,misleading,Bank Phishing,
Fasal bima yojana ka claim lene ke liye 72 ghante ke andar toll free number 1800-200-5142 par complaint register karayein.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Alert: Central government announced instant loan waiver for all Kisan Credit Card holders up to 5 lakh rupees on http://kcc-waiver-2026.net.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
PM-KISAN beneficiary status can be tracked using mobile number or registration number on pmkisan.gov.in official portal.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Kisan Samman Nidhi scheme provides direct financial support to small and marginal farmer families to meet farm input expenses.,genuine,Official Portal / Advisory,Agri Scheme / Advisory
Pay Rs 99 for PM Kisan eKYC update on http://pmkisan-ekyc.info.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Free tubewell electricity connection for life! No meter charges. Submit electricity bill copy on http://free-power-kisan.org.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Warning: Drinking milk right after eating fish creates permanent skin diseases. Spread awareness!,misleading,Health Myth,
Indian Railways introduces new train services to connect rural agricultural hubs with major wholesale markets.,genuine,Railways Press Release,
Government announced 95 percent discount on drone sprayers for all small farmers who submit Aadhaar details and Rs 500 processing fee to WhatsApp admin.,misleading,WhatsApp / Phishing SMS,Scam / Fake News
Alert: Government announced 100% waiver on electricity bills for next 6 months if you forward this to 10 groups.,misleading,Viral Scam,
URGENT: UNESCO has declared India's national anthem as the absolute best anthem in the world!,misleading,Viral Hoax,
Government is revoking all driving licenses issued before 2020. Pay Rs 499 on http://renew-license-fast.net to re-validate.,misleading,Phishing Scam,
