text,label,source,category
The Cabinet Committee on Economic Affairs (CCEA) approves Minimum Support Prices (MSP) for mandated Kharif crops to ensure remunerative prices for growers.,genuine,Press Information Bureau,MSP
Alert: Government will confiscate agricultural land if farmers do not complete land link verification on http://kisan-land-verify.com before midnight!,misleading,Phishing SMS,Phishing Scam
Pradhan Mantri Krishi Sinchayee Yojana (PMKSY) aims to enhance water use efficiency through Per Drop More Crop micro-irrigation systems.,genuine,Official Portal,Irrigation
Secret recipe revealed: Mixing detergent powder with kerosene oil and applying to wheat crops eliminates all fungal diseases instantly.,misleading,Social Media Advice,Fake Advisory
Kisan Call Center operates toll-free number 1800-180-1551 providing expert agricultural advice to farmers in local languages from 6 AM to 10 PM daily.,genuine,Ministry of Agriculture,Support Line
Government announced free seed kits distribution for wheat and rice to all farmers who pay Rs 199 shipping charge on http://free-beej-yojana.com.,misleading,WhatsApp Scam,Scam
Under PM Kusum Scheme farmers can install standalone solar agriculture pumps with up to 60 percent subsidy from central and state government.,genuine,MNRE Official Scheme,Solar Scheme
Special relief scheme: Every farmer with a tubewell gets Rs 50000 direct bank transfer if they click this link and enter OTP http://kisan-relief-fund.net.,misleading,Phishing Scam,Phishing Scam
Farmers are advised to monitor weather updates from India Meteorological Department (IMD) Meghdoot app for location-specific agricultural forecasts.,genuine,IMD Advisory,Weather Advisory
Urgent update: Government has cancelled all organic farming certifications and declared organic fertilizers illegal for wheat production.,misleading,Social Media Rumor,Fake News
Rashtriya Krishi Vikas Yojana (RKVY) supports holistic development of agriculture and allied sectors by empowering states to choose localized farm projects.,genuine,Official Ministry Portal,Development
Claim your free mini tractor! Government selected 5000 farmers for free machinery distribution. Verify your phone number at http://free-tractor-scheme.org.,misleading,WhatsApp Scam,Scam
"Soil testing helps determine crop nutrient requirements and prevents excessive fertilizer application, saving input costs and preserving soil health.",genuine,ICAR Extension,Soil Health
Government is paying Rs 2000 per month pension to all farmers above 18 years without any contribution. Register at http://kisan-pension-free.site.,misleading,WhatsApp Forward,Fake Scheme
Pradhan Mantri Kisan Maandhan Yojana is a voluntary and contributory pension scheme for small and marginal farmers aged 18 to 40 years.,genuine,Ministry of Agriculture,Pension Scheme
Warning! Eating crops grown using NPK fertilizer causes instant food poisoning. Switch to fake herbal powder available at http://herbal-farm.com.,misleading,Commercial Fraud,Fake Advisory
Agri-Clinics and Agri-Business Centres (ACABC) scheme provides training and credit-linked subsidies to agriculture graduates setting up farm advisory centers.,genuine,NABARD / MANAGE,Entrepreneurship
Click here to double your PM Kisan payment from Rs 6000 to Rs 12000 annually by submitting your bank PIN on http://pmkisan-double-bonus.com!,misleading,Phishing Scam,Phishing Scam
Central Insecticides Board & Registration Committee (CIBRC) approves and regulates pesticide formulations for safe agricultural use in India.,genuine,Official Regulatory Authority,Regulation
Government announced 95 percent discount on drone sprayers for all small farmers who submit Aadhaar details to WhatsApp group admin.,misleading,WhatsApp Scam,Scam
"National Food Security Mission (NFSM) aims to increase production of rice, wheat, pulses, coarse cereals and commercial crops through productivity enhancement.",genuine,Ministry of Agriculture,Food Security
Government is shutting down all APMC mandis nationwide from next Monday. Sell all your crop produce to private agents immediately at low rates!,misleading,Panic Messaging,Panic Rumor
Farmers can check legitimate scheme guidelines and portal links on official Indian government domain agricoop.nic.in or india.gov.in.,genuine,Official Government Advisory,Portal Verification
Mandatory eKYC update for PM Kisan: Pay Rs 99 at http://pmkisan-ekyc-now.org to avoid cancellation of your 17th installment.,misleading,Phishing SMS,Phishing Scam
Farmers are requested to complete PM-KISAN e-KYC through OTP based authentication on pmkisan.gov.in portal or biometric authentication at nearest CSC centers.,genuine,Official Government Portal,Scheme Info
Mission for Integrated Development of Horticulture (MIDH) promotes holistic growth of the horticulture sector including bamboo and coconut cultivation.,genuine,Ministry of Agriculture,Horticulture
Government announced 100 percent subsidy on avocado farming for all farmers who transfer Rs 500 processing fee to UPI ID agri-subsidy@upi.,misleading,WhatsApp Forward,UPI Scam
Farmers can purchase certified seeds from National Seeds Corporation (NSC) outlets or authorized state seed portal indiaseeds.com.,genuine,Official Seed Portal,Certified Seeds
Mixing salt water with vinegar and spraying on sugarcane fields doubles sugar content in 24 hours without chemical fertilizers.,misleading,Social Media Advice,Fake Advisory
NABARD provides re-finance support to cooperative banks and Regional Rural Banks (RRBs) for short term crop loans.,genuine,NABARD Official,Credit Support
Alert: Central government announced instant loan waiver for all Kisan Credit Card holders up to 5 lakh rupees on http://kcc-waiver-2026.net.,misleading,Phishing SMS,Loan Scam
Sub-Mission on Seeds and Planting Material (SMSP) aims to increase production of certified seeds and upgrade seed multiplication infrastructure.,genuine,Official Ministry Release,Seed Mission
Government is giving free electricity transformers to every farm tubewell. Fill up form on http://free-transformer-yojana.com with your bank OTP.,misleading,WhatsApp Scam,Phishing Scam
Kisan Drones scheme under SMAM provides financial assistance up to 100 percent to ICAR institutes and KVKs for buying agricultural drones.,genuine,Ministry of Agriculture,Drone Scheme
Warning: Government has banned all drip irrigation systems across India starting next week. Switch to flood irrigation immediately.,misleading,Social Media Rumor,Panic Messaging
"Soil Health Card provides recommendations on 12 key parameters including Nitrogen, Phosphorus, Potassium, Zinc, Iron, and pH levels.",genuine,ICAR Advisory,Soil Health
Government will credit Rs 25000 as drought compensation into bank accounts of all farmers who forward this link to 10 WhatsApp contacts.,misleading,Viral Chain Message,Viral Scam
Agriculture Infrastructure Fund (AIF) provides medium to long term debt financing facility for investment in post-harvest infrastructure projects.,genuine,Official Ministry Portal,Infrastructure
Urgent: Pay Rs 150 processing fee at http://aif-infrastructure-loan.org to get 3% interest subvention for setting up cold storage.,misleading,Phishing SMS,Loan Scam
PM-PRANAM scheme aims to incentivize states to promote alternative fertilizers and balanced use of chemical fertilizers.,genuine,Ministry of Chemicals and Fertilizers,Fertilizer Scheme
Government declared all synthetic pesticides toxic and illegal starting tomorrow; farmers using chemical sprays face immediate imprisonment.,misleading,Social Media Rumor,Panic Rumor
Krishi Vigyan Kendras (KVK) serve as agricultural extension centers created by ICAR to assess location-specific technology modules in agriculture.,genuine,ICAR Extension,Support Center
Click this link http://kvk-free-seeds.site to order free hybrid tomato and chilly seeds delivered to your home by speed post.,misleading,WhatsApp Scam,Scam
Minimum Support Price (MSP) for wheat for 2024-25 season has been approved at Rs 2275 per quintal.,genuine,Press Information Bureau,MSP
Government announced MSP of Rs 10000 per quintal for paddy starting tomorrow. Register at http://msp-bonus-kisan.info immediately.,misleading,Phishing Scam,MSP Scam
"Central Sector Scheme for Formation and Promotion of 10,000 Farmer Producer Organizations (FPOs) provides handholding support for 5 years.",genuine,Ministry of Agriculture,FPO Scheme
FPO registration fee waived off completely! Pay Rs 499 on http://fpo-india-reg.com to get instant 10 lakh government grant.,misleading,WhatsApp Scam,Scam
Farmers can check real-time commodity prices across Mandis on e-NAM mobile app or official portal enam.gov.in.,genuine,Official Portal,e-NAM
WhatsApp alert: Mandi tax has been increased to 50 percent on all vegetables. Sell your harvest directly to private buyers at low prices today!,misleading,Panic Messaging,Panic Rumor
PM-KUSUM Component-B provides subsidy for installation of 17.50 lakh standalone solar powered agriculture pumps.,genuine,MNRE Official Scheme,Solar Scheme
Get free solar panel for rooftop and farm tubewell without any cost! Send Aadhaar card and PAN card to WhatsApp number 9876543210.,misleading,WhatsApp Scam,Phishing Scam
Farmer Subsidy Update: Farmers can get additional subsidy support on eligible agricultural products purchased through private portal bighaat.com.,misleading,Social Media Commercial,Commercial Scam
"Buy subsidized seeds, fertilizers, or crop care products through private shopping portal and keep invoice for government subsidy reimbursement.",misleading,WhatsApp Forward,Commercial Fraud
Official announcement: Reserve Bank of India has issued new regulatory guidelines for digital banking security.,genuine,Public News Archive,
"BREAKING: Drinking hot water with lemon instantly cures all viral infections within 2 hours, share with everyone!",misleading,Viral Social Media,
Ministry of Health updates COVID-19 vaccination portal for booster dose appointments across state health centers.,genuine,Public News Archive,
URGENT: Government will block all SIM cards within 24 hours unless you click this link and submit bank details.,misleading,Phishing SMS,
Department of Telecommunications warns citizens against sharing OTPs or financial information over phone calls.,genuine,Government Press Release,
Free laptop scheme announced for all students in India. Fill out the application form on http://free-laptop-2026.site.,misleading,WhatsApp Scam,
National Testing Agency releases official admit cards for competitive entrance examinations on nta.ac.in.,genuine,Official Announcement,
WhatsApp will start charging 0.99 per message from next month unless you forward this message to 20 people!,misleading,Viral Forward,
Indian Meteorological Department issues heatwave warning for northwest regions urging citizens to stay hydrated.,genuine,Weather Bureau,
Government announces Rs 5000 festival bonus for everyone who shares this WhatsApp link with 10 friends.,misleading,Scam Message,
State Bank of India cautions customers against fraudulent links promising instant personal loans without verification.,genuine,Bank Advisory,
Shocking discovery: Eating raw onions under your bed overnight eliminates all toxic radiation from cell phones.,misleading,Fake Health Myth,
Ministry of Education launches digital portal to provide free open-access e-books for school students.,genuine,Ministry Release,
Urgent SMS: Your electricity bill is unpaid. Power supply will be disconnected tonight at 9 PM unless you pay on http://quick-power-pay.info.,misleading,Utility Scam,
Unique Identification Authority of India (UIDAI) allows citizens to update address in Aadhaar online via official portal myaadhaar.uidai.gov.in.,genuine,Official Aadhaar Advisory,
Government is giving free smart TVs to every household under new digital scheme. Apply now at http://free-tv-yojana.com.,misleading,Viral Scam,
Indian Railways introduces new train services to connect rural agricultural hubs with major wholesale markets.,genuine,Railways Press Release,
Warning: Drinking milk right after eating fish creates permanent skin diseases. Spread awareness!,misleading,Health Myth,
Ministry of Micro Small and Medium Enterprises offers collateral-free credit guarantee schemes for small entrepreneurs.,genuine,Ministry Release,
Government has passed a law making it mandatory to share your credit card password with municipal authorities.,misleading,Fake News Forgery,
EPFO enables online claim submission for EPF withdrawal through the official Member Sewa portal.,genuine,Official EPFO Release,
You have won 25 Lakh Rupees in KBC lucky draw! Send Rs 5000 processing fee immediately to claim cash prize.,misleading,Lottery Fraud,
Indian Council of Medical Research releases guidelines for balanced nutrition and dietary intake for adults.,genuine,ICMR Guidelines,
Secret government trick: Forward this message 5 times to turn your phone battery to 100% instantly!,misleading,Viral Myth,
Central Board of Secondary Education announces dates for annual board examinations on cbse.gov.in.,genuine,CBSE Press Release,
Government is revoking all driving licenses issued before 2020. Pay Rs 499 on http://renew-license-fast.net to re-validate.,misleading,Phishing Scam,
Reserve Bank of India maintains repo rate in latest monetary policy committee decision.,genuine,RBI Press Release,
"BREAKING: Government will credit Rs 10,000 into every bank account tonight at 12 AM. Click link to confirm account number.",misleading,Phishing Scam,
Department of Consumer Affairs launches helpline 1915 for consumer grievance registration.,genuine,Consumer Affairs Release,
Scientists discover that holding a magnet against your forehead cures headaches in 10 seconds.,misleading,Health Myth,
Ministry of Road Transport and Highways makes FASTag mandatory for seamless electronic toll collection on national highways.,genuine,Transport Ministry,
Urgent alert: Drinking coffee at night causes permanent memory loss according to new fake study.,misleading,Health Misinformation,
Directorate General of Foreign Trade issues notification regarding revised export policy for agricultural commodities.,genuine,DGFT Notification,
Get instant 5G speed boost by dialing *#9900# and sending Rs 100 to private UPI ID!,misleading,Telecom Scam,
Kisan Credit Card interest subvention scheme continues to provide subsidized credit for agricultural operations.,genuine,NABARD Report,
Government bans all private vehicles on highways starting tomorrow morning. Stock up on fuel immediately!,misleading,Social Media Panic,
Ministry of Housing and Urban Affairs provides financial assistance for affordable housing under PMAY-U.,genuine,Ministry Release,
URGENT: UNESCO has declared India's national anthem as the absolute best anthem in the world!,misleading,Viral Hoax,
Ministry of Electronics and IT issues advisory on cybersecurity hygiene and safeguarding personal credentials.,genuine,MeitY Advisory,
Submit your PAN card number on http://pan-tax-refund.org to claim instant Rs 4500 income tax refund!,misleading,Phishing Fraud,
Ministry of Corporate Affairs simplifies company incorporation process through SPICe+ web form.,genuine,Official MCA Release,
Government is giving free smartphones to all citizens who register on http://free-smartphone-2026.net.,misleading,WhatsApp Scam,
National Bank for Agriculture and Rural Development (NABARD) releases annual financial results highlighting rural credit growth.,genuine,NABARD Press Release,
Urgent: Your bank account will be blocked today due to pending KYC verification. Update details on http://bank-kyc-verify.online.,misleading,Bank Phishing,
Bureau of Indian Standards (BIS) mandates ISI mark for household electrical appliances to ensure safety.,genuine,Official BIS Advisory,
Alert: Government announced 100% waiver on electricity bills for next 6 months if you forward this to 10 groups.,misleading,Viral Scam,
Food Safety and Standards Authority of India (FSSAI) conducts nationwide food safety surveillance drives.,genuine,FSSAI Official Release,
Shocking news: NASA confirms 3 days of complete darkness across Earth starting next Monday!,misleading,Social Media Hoax,
Ministry of Skill Development and Entrepreneurship launches PMKVY 4.0 to train youth in Industry 4.0 skills.,genuine,Ministry Release,
Claim your government approved solar panel grant of Rs 50000 by sending your bank OTP to admin.,misleading,Phishing Fraud,
